Zip Code,Year,Month,ZHVI,Date,Cluster,Data_Source,ZHVI_Upper,ZHVI_Lower
19102,2014,9,414687,9/1/2014,7,Historical,414687,414687
19102,2014,10,415337,10/1/2014,7,Historical,415337,415337
19102,2014,11,415942,11/1/2014,7,Historical,415942,415942
19102,2014,12,418426,12/1/2014,7,Historical,418426,418426
19102,2015,1,420983,1/1/2015,7,Historical,420983,420983
19102,2015,2,423599,2/1/2015,7,Historical,423599,423599
19102,2015,3,424301,3/1/2015,7,Historical,424301,424301
19102,2015,4,423807,4/1/2015,7,Historical,423807,423807
19102,2015,5,421623,5/1/2015,7,Historical,421623,421623
19102,2015,6,418284,6/1/2015,7,Historical,418284,418284
19102,2015,7,415454,7/1/2015,7,Historical,415454,415454
19102,2015,8,414188,8/1/2015,7,Historical,414188,414188
19102,2015,9,414537,9/1/2015,7,Historical,414537,414537
19102,2015,10,415435,10/1/2015,7,Historical,415435,415435
19102,2015,11,416714,11/1/2015,7,Historical,416714,416714
19102,2015,12,418384,12/1/2015,7,Historical,418384,418384
19102,2016,1,420623,1/1/2016,7,Historical,420623,420623
19102,2016,2,422493,2/1/2016,7,Historical,422493,422493
19102,2016,3,423654,3/1/2016,7,Historical,423654,423654
19102,2016,4,424624,4/1/2016,7,Historical,424624,424624
19102,2016,5,425718,5/1/2016,7,Historical,425718,425718
19102,2016,6,427018,6/1/2016,7,Historical,427018,427018
19102,2016,7,427983,7/1/2016,7,Historical,427983,427983
19102,2016,8,428788,8/1/2016,7,Historical,428788,428788
19102,2016,9,429444,9/1/2016,7,Historical,429444,429444
19102,2016,10,430613,10/1/2016,7,Historical,430613,430613
19102,2016,11,431951,11/1/2016,7,Historical,431951,431951
19102,2016,12,433489,12/1/2016,7,Historical,433489,433489
19102,2017,1,435479,1/1/2017,7,Historical,435479,435479
19102,2017,2,438604,2/1/2017,7,Historical,438604,438604
19102,2017,3,441713,3/1/2017,7,Historical,441713,441713
19102,2017,4,444074,4/1/2017,7,Historical,444074,444074
19102,2017,5,445513,5/1/2017,7,Historical,445513,445513
19102,2017,6,446633,6/1/2017,7,Historical,446633,446633
19102,2017,7,447535,7/1/2017,7,Historical,447535,447535
19102,2017,8,447557,8/1/2017,7,Historical,447557,447557
19102,2017,9,446896,9/1/2017,7,Historical,446896,446896
19102,2017,10,446024,10/1/2017,7,Historical,446024,446024
19102,2017,11,445628,11/1/2017,7,Historical,445628,445628
19102,2017,12,445759,12/1/2017,7,Historical,445759,445759
19102,2018,1,445494,1/1/2018,7,Historical,445494,445494
19102,2018,2,445571,2/1/2018,7,Historical,445571,445571
19102,2018,3,446375,3/1/2018,7,Historical,446375,446375
19102,2018,4,447175,4/1/2018,7,Historical,447175,447175
19102,2018,5,447825,5/1/2018,7,Historical,447825,447825
19102,2018,6,446957,6/1/2018,7,Historical,446957,446957
19102,2018,7,446438,7/1/2018,7,Historical,446438,446438
19102,2018,8,445102,8/1/2018,7,Historical,445102,445102
19102,2018,9,443925,9/1/2018,7,Historical,443925,443925
19102,2018,10,441767,10/1/2018,7,Historical,441767,441767
19102,2018,11,439388,11/1/2018,7,Historical,439388,439388
19102,2018,12,437777,12/1/2018,7,Historical,437777,437777
19102,2019,1,435508,1/1/2019,7,Historical,435508,435508
19102,2019,2,432600,2/1/2019,7,Historical,432600,432600
19102,2019,3,428619,3/1/2019,7,Historical,428619,428619
19102,2019,4,426243,4/1/2019,7,Historical,426243,426243
19102,2019,5,424706,5/1/2019,7,Historical,424706,424706
19102,2019,6,423524,6/1/2019,7,Historical,423524,423524
19102,2019,7,421946,7/1/2019,7,Historical,421946,421946
19102,2019,8,420074,8/1/2019,7,Historical,420074,420074
19102,2019,9,418202,9/1/2019,7,Historical,418202,418202
19102,2019,10,416376,10/1/2019,7,Historical,416376,416376
19102,2019,11,415475,11/1/2019,7,Historical,415475,415475
19102,2019,12,415684,12/1/2019,7,Historical,415684,415684
19102,2020,1,417168,1/1/2020,7,Historical,417168,417168
19102,2020,2,419485,2/1/2020,7,Historical,419485,419485
19102,2020,3,421890,3/1/2020,7,Historical,421890,421890
19102,2020,4,423275,4/1/2020,7,Historical,423275,423275
19102,2020,5,423003,5/1/2020,7,Historical,423003,423003
19102,2020,6,421622,6/1/2020,7,Historical,421622,421622
19102,2020,7,420022,7/1/2020,7,Historical,420022,420022
19102,2020,8,419475,8/1/2020,7,Historical,419475,419475
19102,2020,9,419626,9/1/2020,7,Historical,419626,419626
19102,2020,10,420371,10/1/2020,7,Historical,420371,420371
19102,2020,11,421241,11/1/2020,7,Historical,421241,421241
19102,2020,12,421432,12/1/2020,7,Historical,421432,421432
19102,2021,1,420534,1/1/2021,7,Historical,420534,420534
19102,2021,2,418953,2/1/2021,7,Historical,418953,418953
